alert_id,vehicle_id,alert_date,alert_type,severity,resolved,fault_code,alert_year,alert_month,status
1,VH052,2021-01-01,Overheating,MEDIUM,1,P0300,2021,1,Resolved
2,VH202,2021-01-01,Oil Level Low,MEDIUM,1,UNKNOWN,2021,1,Resolved
3,VH360,2021-01-02,Oil Level Low,MEDIUM,0,UNKNOWN,2021,1,Open
4,VH046,2021-01-02,Brake Wear,LOW,1,P0217,2021,1,Resolved
5,VH059,2021-01-03,Battery Low,MEDIUM,1,B0020,2021,1,Resolved
6,VH174,2021-01-03,Oil Level Low,LOW,1,UNKNOWN,2021,1,Resolved
7,VH032,2021-01-04,Engine Warning,HIGH,0,UNKNOWN,2021,1,Open
8,VH149,2021-01-04,Battery Low,LOW,1,UNKNOWN,2021,1,Resolved
9,VH285,2021-01-05,Abs Fault,MEDIUM,1,B0020,2021,1,Resolved
10,VH414,2021-01-05,Engine Warning,MEDIUM,0,UNKNOWN,2021,1,Open
11,VH121,2021-01-06,Battery Low,LOW,1,P0300,2021,1,Resolved
12,VH263,2021-01-06,Engine Warning,HIGH,1,P0420,2021,1,Resolved
13,VH042,2021-01-07,Engine Warning,MEDIUM,1,C0031,2021,1,Resolved
14,VH477,2021-01-07,Battery Low,HIGH,1,P0420,2021,1,Resolved
15,VH255,2021-01-08,Brake Wear,HIGH,1,C0031,2021,1,Resolved
16,VH330,2021-01-08,Engine Warning,HIGH,1,P0217,2021,1,Resolved
17,VH178,2021-01-09,Battery Low,HIGH,1,C0031,2021,1,Resolved
18,VH086,2021-01-09,Overheating,MEDIUM,0,C0031,2021,1,Open
19,VH017,2021-01-10,Abs Fault,LOW,0,P0217,2021,1,Open
20,VH402,2021-01-10,Overheating,HIGH,0,B0020,2021,1,Open
21,VH238,2021-01-11,Abs Fault,MEDIUM,1,C0031,2021,1,Resolved
22,VH133,2021-01-11,Brake Wear,HIGH,1,P0217,2021,1,Resolved
23,VH445,2021-01-12,Battery Low,MEDIUM,1,C0031,2021,1,Resolved
24,VH423,2021-01-12,Abs Fault,MEDIUM,1,P0420,2021,1,Resolved
25,VH209,2021-01-13,Brake Wear,LOW,1,P0217,2021,1,Resolved
26,VH354,2021-01-13,Abs Fault,HIGH,1,P0300,2021,1,Resolved
27,VH196,2021-01-14,Engine Warning,MEDIUM,1,UNKNOWN,2021,1,Resolved
28,VH425,2021-01-14,Abs Fault,MEDIUM,1,C0031,2021,1,Resolved
29,VH072,2021-01-15,Abs Fault,HIGH,1,C0031,2021,1,Resolved
30,VH026,2021-01-15,Overheating,LOW,0,P0420,2021,1,Open
31,VH089,2021-01-16,Brake Wear,HIGH,1,P0420,2021,1,Resolved
32,VH484,2021-01-16,Engine Warning,MEDIUM,0,P0300,2021,1,Open
33,VH235,2021-01-17,Overheating,HIGH,0,P0217,2021,1,Open
34,VH039,2021-01-17,Brake Wear,HIGH,1,UNKNOWN,2021,1,Resolved
35,VH459,2021-01-18,Engine Warning,MEDIUM,1,P0300,2021,1,Resolved
36,VH323,2021-01-18,Abs Fault,MEDIUM,0,P0300,2021,1,Open
37,VH044,2021-01-19,Oil Level Low,MEDIUM,1,B0020,2021,1,Resolved
38,VH360,2021-01-19,Overheating,HIGH,1,UNKNOWN,2021,1,Resolved
39,VH064,2021-01-20,Engine Warning,MEDIUM,0,P0300,2021,1,Open
40,VH476,2021-01-20,Oil Level Low,LOW,0,C0031,2021,1,Open
41,VH423,2021-01-21,Brake Wear,MEDIUM,0,P0300,2021,1,Open
42,VH184,2021-01-21,Oil Level Low,MEDIUM,1,UNKNOWN,2021,1,Resolved
43,VH473,2021-01-22,Abs Fault,LOW,1,P0420,2021,1,Resolved
44,VH086,2021-01-22,Overheating,MEDIUM,0,P0420,2021,1,Open
45,VH397,2021-01-23,Battery Low,HIGH,0,UNKNOWN,2021,1,Open
46,VH388,2021-01-23,Brake Wear,MEDIUM,0,C0031,2021,1,Open
47,VH284,2021-01-24,Oil Level Low,LOW,1,B0020,2021,1,Resolved
48,VH083,2021-01-24,Engine Warning,LOW,1,P0300,2021,1,Resolved
49,VH259,2021-01-25,Battery Low,LOW,0,P0217,2021,1,Open
50,VH254,2021-01-25,Battery Low,LOW,1,P0420,2021,1,Resolved
51,VH283,2021-01-26,Brake Wear,MEDIUM,1,C0031,2021,1,Resolved
52,VH189,2021-01-26,Oil Level Low,LOW,0,P0217,2021,1,Open
53,VH331,2021-01-27,Overheating,MEDIUM,1,UNKNOWN,2021,1,Resolved
54,VH134,2021-01-27,Oil Level Low,MEDIUM,1,P0300,2021,1,Resolved
55,VH304,2021-01-28,Oil Level Low,MEDIUM,1,P0300,2021,1,Resolved
56,VH223,2021-01-28,Brake Wear,HIGH,1,P0300,2021,1,Resolved
57,VH056,2021-01-29,Brake Wear,HIGH,1,P0217,2021,1,Resolved
58,VH029,2021-01-29,Engine Warning,HIGH,1,P0300,2021,1,Resolved
59,VH200,2021-01-30,Overheating,MEDIUM,1,B0020,2021,1,Resolved
60,VH331,2021-01-30,Brake Wear,LOW,1,P0217,2021,1,Resolved
61,VH120,2021-01-31,Engine Warning,LOW,1,P0420,2021,1,Resolved
62,VH457,2021-01-31,Abs Fault,HIGH,0,UNKNOWN,2021,1,Open
63,VH287,2021-02-01,Battery Low,MEDIUM,1,B0020,2021,2,Resolved
64,VH321,2021-02-01,Engine Warning,MEDIUM,1,C0031,2021,2,Resolved
65,VH071,2021-02-02,Overheating,MEDIUM,0,P0300,2021,2,Open
66,VH330,2021-02-02,Engine Warning,LOW,1,C0031,2021,2,Resolved
67,VH137,2021-02-03,Abs Fault,LOW,1,P0420,2021,2,Resolved
68,VH063,2021-02-03,Engine Warning,LOW,0,C0031,2021,2,Open
69,VH077,2021-02-04,Brake Wear,HIGH,1,P0420,2021,2,Resolved
70,VH283,2021-02-04,Overheating,LOW,0,C0031,2021,2,Open
71,VH018,2021-02-05,Engine Warning,LOW,0,P0420,2021,2,Open
72,VH400,2021-02-05,Oil Level Low,LOW,1,P0217,2021,2,Resolved
73,VH388,2021-02-06,Engine Warning,MEDIUM,1,P0217,2021,2,Resolved
74,VH478,2021-02-06,Battery Low,LOW,1,UNKNOWN,2021,2,Resolved
75,VH166,2021-02-07,Battery Low,HIGH,1,UNKNOWN,2021,2,Resolved
76,VH148,2021-02-07,Engine Warning,LOW,1,C0031,2021,2,Resolved
77,VH425,2021-02-08,Abs Fault,MEDIUM,0,B0020,2021,2,Open
78,VH186,2021-02-08,Engine Warning,HIGH,1,B0020,2021,2,Resolved
79,VH076,2021-02-09,Oil Level Low,LOW,0,P0217,2021,2,Open
80,VH028,2021-02-09,Engine Warning,LOW,1,P0300,2021,2,Resolved
81,VH044,2021-02-10,Brake Wear,MEDIUM,0,P0300,2021,2,Open
82,VH321,2021-02-10,Overheating,MEDIUM,0,B0020,2021,2,Open
83,VH137,2021-02-11,Abs Fault,HIGH,1,C0031,2021,2,Resolved
84,VH362,2021-02-11,Oil Level Low,MEDIUM,1,B0020,2021,2,Resolved
85,VH113,2021-02-12,Engine Warning,HIGH,1,UNKNOWN,2021,2,Resolved
86,VH161,2021-02-12,Abs Fault,MEDIUM,0,P0217,2021,2,Open
87,VH245,2021-02-13,Brake Wear,MEDIUM,1,C0031,2021,2,Resolved
88,VH449,2021-02-13,Abs Fault,HIGH,1,P0217,2021,2,Resolved
89,VH106,2021-02-14,Engine Warning,MEDIUM,1,B0020,2021,2,Resolved
90,VH009,2021-02-14,Oil Level Low,MEDIUM,1,B0020,2021,2,Resolved
91,VH214,2021-02-15,Oil Level Low,LOW,0,P0217,2021,2,Open
92,VH318,2021-02-15,Battery Low,HIGH,1,C0031,2021,2,Resolved
93,VH457,2021-02-16,Battery Low,MEDIUM,1,C0031,2021,2,Resolved
94,VH325,2021-02-16,Engine Warning,MEDIUM,0,P0420,2021,2,Open
95,VH118,2021-02-17,Overheating,HIGH,1,P0217,2021,2,Resolved
96,VH386,2021-02-17,Brake Wear,LOW,1,B0020,2021,2,Resolved
97,VH206,2021-02-18,Battery Low,MEDIUM,1,P0217,2021,2,Resolved
98,VH204,2021-02-18,Battery Low,MEDIUM,1,P0217,2021,2,Resolved
99,VH029,2021-02-19,Overheating,LOW,1,P0300,2021,2,Resolved
100,VH208,2021-02-19,Abs Fault,LOW,1,P0420,2021,2,Resolved
101,VH304,2021-02-20,Oil Level Low,HIGH,0,C0031,2021,2,Open
102,VH073,2021-02-20,Engine Warning,MEDIUM,0,P0300,2021,2,Open
103,VH307,2021-02-21,Engine Warning,MEDIUM,0,P0420,2021,2,Open
104,VH288,2021-02-21,Brake Wear,MEDIUM,1,P0300,2021,2,Resolved
105,VH373,2021-02-22,Overheating,MEDIUM,1,P0420,2021,2,Resolved
106,VH408,2021-02-22,Abs Fault,LOW,0,P0420,2021,2,Open
107,VH373,2021-02-23,Overheating,HIGH,1,UNKNOWN,2021,2,Resolved
108,VH442,2021-02-23,Overheating,MEDIUM,0,P0217,2021,2,Open
109,VH404,2021-02-24,Oil Level Low,MEDIUM,1,P0420,2021,2,Resolved
110,VH340,2021-02-24,Overheating,HIGH,1,B0020,2021,2,Resolved
111,VH117,2021-02-25,Oil Level Low,MEDIUM,0,B0020,2021,2,Open
112,VH243,2021-02-25,Engine Warning,MEDIUM,1,B0020,2021,2,Resolved
113,VH234,2021-02-26,Oil Level Low,HIGH,1,B0020,2021,2,Resolved
114,VH427,2021-02-26,Engine Warning,LOW,1,P0300,2021,2,Resolved
115,VH372,2021-02-27,Brake Wear,MEDIUM,1,C0031,2021,2,Resolved
116,VH389,2021-02-27,Overheating,MEDIUM,0,C0031,2021,2,Open
117,VH468,2021-02-28,Brake Wear,LOW,1,UNKNOWN,2021,2,Resolved
118,VH208,2021-02-28,Overheating,HIGH,1,P0420,2021,2,Resolved
119,VH147,2021-03-01,Abs Fault,MEDIUM,0,C0031,2021,3,Open
120,VH332,2021-03-01,Brake Wear,MEDIUM,0,P0300,2021,3,Open
121,VH081,2021-03-02,Battery Low,MEDIUM,1,B0020,2021,3,Resolved
122,VH098,2021-03-02,Battery Low,MEDIUM,1,B0020,2021,3,Resolved
123,VH411,2021-03-03,Oil Level Low,HIGH,1,B0020,2021,3,Resolved
124,VH297,2021-03-03,Abs Fault,LOW,0,C0031,2021,3,Open
125,VH380,2021-03-04,Brake Wear,MEDIUM,1,UNKNOWN,2021,3,Resolved
126,VH474,2021-03-04,Overheating,LOW,1,P0217,2021,3,Resolved
127,VH242,2021-03-05,Engine Warning,LOW,0,P0217,2021,3,Open
128,VH290,2021-03-05,Oil Level Low,LOW,0,C0031,2021,3,Open
129,VH021,2021-03-06,Abs Fault,HIGH,1,UNKNOWN,2021,3,Resolved
130,VH170,2021-03-06,Oil Level Low,MEDIUM,1,UNKNOWN,2021,3,Resolved
131,VH105,2021-03-07,Abs Fault,LOW,0,UNKNOWN,2021,3,Open
132,VH067,2021-03-07,Battery Low,LOW,0,B0020,2021,3,Open
133,VH489,2021-03-08,Abs Fault,MEDIUM,0,C0031,2021,3,Open
134,VH100,2021-03-08,Brake Wear,HIGH,1,P0300,2021,3,Resolved
135,VH477,2021-03-09,Brake Wear,MEDIUM,1,P0217,2021,3,Resolved
136,VH237,2021-03-09,Abs Fault,MEDIUM,0,UNKNOWN,2021,3,Open
137,VH252,2021-03-10,Oil Level Low,HIGH,1,P0217,2021,3,Resolved
138,VH083,2021-03-10,Battery Low,LOW,1,UNKNOWN,2021,3,Resolved
139,VH021,2021-03-11,Engine Warning,MEDIUM,1,P0420,2021,3,Resolved
140,VH204,2021-03-11,Battery Low,MEDIUM,0,P0420,2021,3,Open
141,VH492,2021-03-12,Brake Wear,MEDIUM,0,P0420,2021,3,Open
142,VH471,2021-03-12,Engine Warning,HIGH,0,UNKNOWN,2021,3,Open
143,VH175,2021-03-13,Oil Level Low,MEDIUM,0,UNKNOWN,2021,3,Open
144,VH156,2021-03-13,Engine Warning,MEDIUM,1,C0031,2021,3,Resolved
145,VH191,2021-03-14,Oil Level Low,LOW,1,P0217,2021,3,Resolved
146,VH448,2021-03-14,Battery Low,MEDIUM,1,P0300,2021,3,Resolved
147,VH311,2021-03-15,Engine Warning,LOW,1,P0217,2021,3,Resolved
148,VH012,2021-03-15,Overheating,MEDIUM,1,UNKNOWN,2021,3,Resolved
149,VH386,2021-03-16,Brake Wear,HIGH,1,UNKNOWN,2021,3,Resolved
150,VH443,2021-03-16,Oil Level Low,HIGH,0,B0020,2021,3,Open
151,VH286,2021-03-17,Engine Warning,LOW,1,C0031,2021,3,Resolved
152,VH268,2021-03-17,Engine Warning,LOW,1,P0217,2021,3,Resolved
153,VH231,2021-03-18,Abs Fault,LOW,1,C0031,2021,3,Resolved
154,VH167,2021-03-18,Overheating,MEDIUM,1,C0031,2021,3,Resolved
155,VH274,2021-03-19,Abs Fault,MEDIUM,0,P0300,2021,3,Open
156,VH378,2021-03-19,Abs Fault,MEDIUM,1,B0020,2021,3,Resolved
157,VH249,2021-03-20,Abs Fault,LOW,1,UNKNOWN,2021,3,Resolved
158,VH382,2021-03-20,Battery Low,HIGH,0,UNKNOWN,2021,3,Open
159,VH280,2021-03-21,Overheating,MEDIUM,0,P0300,2021,3,Open
160,VH140,2021-03-21,Engine Warning,HIGH,0,C0031,2021,3,Open
161,VH338,2021-03-22,Brake Wear,HIGH,1,C0031,2021,3,Resolved
162,VH134,2021-03-22,Engine Warning,HIGH,0,P0300,2021,3,Open
163,VH264,2021-03-23,Engine Warning,MEDIUM,0,UNKNOWN,2021,3,Open
164,VH057,2021-03-23,Engine Warning,LOW,1,P0420,2021,3,Resolved
165,VH305,2021-03-24,Abs Fault,MEDIUM,1,UNKNOWN,2021,3,Resolved
166,VH143,2021-03-24,Overheating,MEDIUM,0,P0300,2021,3,Open
167,VH236,2021-03-25,Overheating,MEDIUM,0,C0031,2021,3,Open
168,VH007,2021-03-25,Oil Level Low,HIGH,1,C0031,2021,3,Resolved
169,VH221,2021-03-26,Oil Level Low,MEDIUM,0,B0020,2021,3,Open
170,VH058,2021-03-26,Abs Fault,HIGH,1,C0031,2021,3,Resolved
171,VH309,2021-03-27,Abs Fault,HIGH,1,UNKNOWN,2021,3,Resolved
172,VH409,2021-03-27,Oil Level Low,HIGH,1,P0217,2021,3,Resolved
173,VH205,2021-03-28,Engine Warning,MEDIUM,1,UNKNOWN,2021,3,Resolved
174,VH445,2021-03-28,Oil Level Low,HIGH,0,P0217,2021,3,Open
175,VH224,2021-03-29,Oil Level Low,MEDIUM,0,C0031,2021,3,Open
176,VH140,2021-03-29,Battery Low,MEDIUM,0,P0300,2021,3,Open
177,VH112,2021-03-30,Abs Fault,LOW,1,UNKNOWN,2021,3,Resolved
178,VH025,2021-03-30,Abs Fault,HIGH,1,UNKNOWN,2021,3,Resolved
179,VH147,2021-03-31,Overheating,MEDIUM,1,P0217,2021,3,Resolved
180,VH298,2021-03-31,Oil Level Low,LOW,1,C0031,2021,3,Resolved
181,VH247,2021-04-01,Overheating,HIGH,1,C0031,2021,4,Resolved
182,VH080,2021-04-01,Brake Wear,LOW,0,P0217,2021,4,Open
183,VH012,2021-04-02,Abs Fault,HIGH,0,C0031,2021,4,Open
184,VH188,2021-04-02,Battery Low,MEDIUM,1,P0300,2021,4,Resolved
185,VH483,2021-04-03,Brake Wear,HIGH,1,UNKNOWN,2021,4,Resolved
186,VH036,2021-04-03,Abs Fault,MEDIUM,1,P0420,2021,4,Resolved
187,VH152,2021-04-04,Overheating,LOW,0,UNKNOWN,2021,4,Open
188,VH289,2021-04-04,Overheating,MEDIUM,0,P0217,2021,4,Open
189,VH420,2021-04-05,Brake Wear,HIGH,0,P0217,2021,4,Open
190,VH132,2021-04-05,Oil Level Low,LOW,1,C0031,2021,4,Resolved
191,VH483,2021-04-06,Battery Low,MEDIUM,0,UNKNOWN,2021,4,Open
192,VH434,2021-04-06,Overheating,LOW,0,P0217,2021,4,Open
193,VH056,2021-04-07,Engine Warning,HIGH,1,C0031,2021,4,Resolved
194,VH118,2021-04-07,Battery Low,HIGH,1,C0031,2021,4,Resolved
195,VH370,2021-04-08,Brake Wear,MEDIUM,1,UNKNOWN,2021,4,Resolved
196,VH264,2021-04-08,Overheating,LOW,0,UNKNOWN,2021,4,Open
197,VH189,2021-04-09,Overheating,LOW,1,C0031,2021,4,Resolved
198,VH008,2021-04-09,Abs Fault,MEDIUM,0,B0020,2021,4,Open
199,VH135,2021-04-10,Brake Wear,MEDIUM,0,B0020,2021,4,Open
200,VH360,2021-04-10,Engine Warning,MEDIUM,0,P0300,2021,4,Open
201,VH409,2021-04-11,Abs Fault,LOW,1,P0420,2021,4,Resolved
202,VH432,2021-04-11,Engine Warning,LOW,0,B0020,2021,4,Open
203,VH035,2021-04-12,Overheating,HIGH,1,P0300,2021,4,Resolved
204,VH079,2021-04-12,Oil Level Low,MEDIUM,1,C0031,2021,4,Resolved
205,VH146,2021-04-13,Engine Warning,LOW,0,C0031,2021,4,Open
206,VH267,2021-04-13,Engine Warning,MEDIUM,1,P0420,2021,4,Resolved
207,VH222,2021-04-14,Oil Level Low,MEDIUM,1,P0217,2021,4,Resolved
208,VH413,2021-04-14,Abs Fault,HIGH,1,B0020,2021,4,Resolved
209,VH087,2021-04-15,Engine Warning,LOW,1,B0020,2021,4,Resolved
210,VH255,2021-04-15,Oil Level Low,MEDIUM,1,C0031,2021,4,Resolved
211,VH098,2021-04-16,Brake Wear,LOW,1,P0300,2021,4,Resolved
212,VH467,2021-04-16,Abs Fault,LOW,1,UNKNOWN,2021,4,Resolved
213,VH272,2021-04-17,Battery Low,MEDIUM,0,P0420,2021,4,Open
214,VH006,2021-04-17,Battery Low,MEDIUM,0,UNKNOWN,2021,4,Open
215,VH233,2021-04-18,Brake Wear,HIGH,1,P0217,2021,4,Resolved
216,VH015,2021-04-18,Engine Warning,MEDIUM,0,P0217,2021,4,Open
217,VH329,2021-04-19,Battery Low,MEDIUM,0,UNKNOWN,2021,4,Open
218,VH029,2021-04-19,Brake Wear,MEDIUM,1,P0300,2021,4,Resolved
219,VH192,2021-04-20,Battery Low,HIGH,0,P0300,2021,4,Open
220,VH234,2021-04-20,Engine Warning,MEDIUM,0,P0420,2021,4,Open
221,VH066,2021-04-21,Abs Fault,LOW,0,C0031,2021,4,Open
222,VH367,2021-04-21,Oil Level Low,MEDIUM,0,UNKNOWN,2021,4,Open
223,VH097,2021-04-22,Brake Wear,LOW,0,UNKNOWN,2021,4,Open
224,VH230,2021-04-22,Abs Fault,MEDIUM,1,P0300,2021,4,Resolved
225,VH215,2021-04-23,Battery Low,LOW,1,P0217,2021,4,Resolved
226,VH120,2021-04-23,Engine Warning,LOW,1,P0217,2021,4,Resolved
227,VH141,2021-04-24,Abs Fault,MEDIUM,1,UNKNOWN,2021,4,Resolved
228,VH468,2021-04-24,Battery Low,LOW,0,P0217,2021,4,Open
229,VH071,2021-04-25,Engine Warning,HIGH,1,C0031,2021,4,Resolved
230,VH313,2021-04-25,Engine Warning,LOW,1,P0420,2021,4,Resolved
231,VH465,2021-04-26,Engine Warning,LOW,0,C0031,2021,4,Open
232,VH179,2021-04-26,Engine Warning,LOW,0,P0217,2021,4,Open
233,VH213,2021-04-27,Brake Wear,HIGH,1,B0020,2021,4,Resolved
234,VH028,2021-04-27,Abs Fault,HIGH,1,B0020,2021,4,Resolved
235,VH350,2021-04-28,Oil Level Low,HIGH,0,P0420,2021,4,Open
236,VH151,2021-04-28,Brake Wear,MEDIUM,0,P0217,2021,4,Open
237,VH125,2021-04-29,Battery Low,HIGH,1,UNKNOWN,2021,4,Resolved
238,VH341,2021-04-29,Brake Wear,MEDIUM,1,P0217,2021,4,Resolved
239,VH369,2021-04-30,Brake Wear,LOW,0,C0031,2021,4,Open
240,VH257,2021-04-30,Battery Low,MEDIUM,1,P0420,2021,4,Resolved
241,VH465,2021-05-01,Oil Level Low,HIGH,1,C0031,2021,5,Resolved
242,VH352,2021-05-01,Brake Wear,LOW,1,UNKNOWN,2021,5,Resolved
243,VH344,2021-05-02,Engine Warning,MEDIUM,1,P0217,2021,5,Resolved
244,VH199,2021-05-02,Brake Wear,HIGH,1,UNKNOWN,2021,5,Resolved
245,VH163,2021-05-03,Battery Low,MEDIUM,1,P0300,2021,5,Resolved
246,VH292,2021-05-03,Oil Level Low,MEDIUM,1,B0020,2021,5,Resolved
247,VH014,2021-05-04,Brake Wear,MEDIUM,0,P0217,2021,5,Open
248,VH184,2021-05-04,Brake Wear,HIGH,1,P0300,2021,5,Resolved
249,VH062,2021-05-05,Battery Low,LOW,0,B0020,2021,5,Open
250,VH396,2021-05-05,Overheating,MEDIUM,1,P0300,2021,5,Resolved
251,VH103,2021-05-06,Overheating,HIGH,0,P0420,2021,5,Open
252,VH343,2021-05-06,Abs Fault,HIGH,0,P0300,2021,5,Open
253,VH142,2021-05-07,Brake Wear,HIGH,1,UNKNOWN,2021,5,Resolved
254,VH190,2021-05-07,Abs Fault,LOW,1,P0300,2021,5,Resolved
255,VH118,2021-05-08,Engine Warning,MEDIUM,1,P0420,2021,5,Resolved
256,VH217,2021-05-08,Brake Wear,HIGH,1,P0300,2021,5,Resolved
257,VH022,2021-05-09,Abs Fault,HIGH,1,UNKNOWN,2021,5,Resolved
258,VH493,2021-05-09,Overheating,LOW,0,P0300,2021,5,Open
259,VH113,2021-05-10,Brake Wear,LOW,1,UNKNOWN,2021,5,Resolved
260,VH101,2021-05-10,Engine Warning,HIGH,1,UNKNOWN,2021,5,Resolved
261,VH029,2021-05-11,Oil Level Low,LOW,0,P0300,2021,5,Open
